date,startup,vertical,subvertical,city,investors,round,amount,Year,startup_cleaned
2018-12-06,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Round,16.5,2018,Shopkirana
2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,28.875,2018,Buildsupply
2018-11-01,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed Round,1.14670875,2018,Godesi
2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,229.34175,2018,Veritas finance ltd
2018-11-06,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,412.5,2018,Meesho
2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,4.125,2018,Mobile premier league
2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,8.25,2018,A&r bon vivants
2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,8.25,2018,Blackbuck
2018-11-12,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,10.725,2018,Milkbasket
2018-11-13,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,8.25,2018,Driveu
2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed Round,4.125,2018,Cleansecar
2018-11-19,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,2475.0,2018,Automation anywhere
2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B,49.5,2018,Healthifyme
2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Round,2.2935,2018,Genius corner
2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,255.75,2018,Aavishkaar-intellecap group
2018-11-22,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Round,0.0,2018,Skillbox
2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,28.05,2018,Signzy
2018-11-24,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,243.375,2018,Engineer
2018-11-25,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,346.5,2018,Incred finance
2018-11-25,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,14.025,2018,Roposo
2018-10-01,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed Round,0.0,2018,Northmist
2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed Round,90.75,2018,Origo commodities india pvt
2018-10-04,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,67.65,2018,Grover zampa
2018-10-05,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,24.75,2018,Droom
